"","WDPA_PID","BIOME","IUCN_CAT","IUCN_GROUP","GIS_AREA","PA_Area","BUFF_Area","CONTINENT","LAT","LONG","PA_FPAR_COUNT","PA_FPAR_MEAN","BUFF_FPAR_MEAN","PA_DUR_COUNT","PA_DUR_MEAN","BUFF_DUR_MEAN","PA_IGN_COUNT","PA_IGN_MEAN","BUFF_IGN_MEAN","PA_HFP_COUNT","PA_HFP_MEAN","BUFF_HFP_MEAN","PA_NAT_AREA_COUNT","PA_NAT_AREA","BUFF_NAT_AREA","PA_HET_COUNT","PA_HET","BUFF_HET","PA_BA_COUNT","PA_BA","BUFF_BA"
"1","10",1,"II","A",778.7630591,7.73e+08,6.336e+09,"SA",-23.66063,-64.80336,983,-11.7711088504578,-11.4137157107232,2,-9.71323680877686,-6.47250938415527,2,-12.5473480224609,-10.0771610736847,776,-0.228092785348597,1.53251262453168,10029,-1e+06,-61999616,8891,0,0,NA,NA,NA
"2","100",4,"II","A",76.38257337,7.6e+07,2.516e+09,"SA",-32.96269,-71.07707,107,-135.990654205607,-161.289908256881,NA,NA,NA,NA,NA,NA,75,-1.37333331425985,0.900244144683189,983,0,-2e+07,948,0,-1,NA,NA,NA
"3","1000",13,"II","A",146.2823308,1.42e+08,2462000128,"NTA",37.58402,-112.1828,213,-3.43192488262911,69.2404929577465,1,0,0,1,0,0,144,0.0972222222222222,0.211424139526409,1888,0,0,1934,1,1,NA,NA,NA
"4","10000",1,"IV","A",35.79877871,3.6e+07,1568999936,"AS",4.040024,101.3654,42,6.42857142857143,14.8428618098661,NA,NA,NA,NA,NA,NA,33,-6.39393942283862,-1.93406594779827,467,0,1.2e+07,378,0,0,NA,NA,NA
"5","100017",8,"II","A",1978.305052,1980999936,7616999936,"EU",43.95545,78.63287,3111,-44.3686917389907,-44.5634446397188,6,0,0.0909090909090909,6,0,0.0909090909090909,1970,-0.00101522770024798,-0.434115642002061,25524,-8e+06,-53000192,28297,1,0,NA,NA,NA
"6","100024",1,"II","A",36.42023187,3e+07,3718000128,"AS",24.45463,118.365,24,45.9166666666667,-88.1333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,475,0,1.1e+07,390,1,-1,NA,NA,NA
"7","10006",1,"V","B",13.64306566,1.4e+07,6.65e+08,"AS",3.237903,101.7513,13,68,-24.3645500228415,NA,NA,NA,NA,NA,NA,15,2.13333346048991,0.652564121922876,170,0,-1e+06,124,0,0,NA,NA,NA
"8","100206",6,"Ib","A",3594.586352,3616999936,8131999744,"NTA",57.85651,-96.02158,6895,-269.015083393764,-111.7803514377,9,-34.0549254947238,-4.8402775035185,9,-2.31882701110509,0.0669697461759343,3619,-0.00221045219958351,0.0325775183846789,46412,-68999936,2.4e+07,62849,-1,0,NA,NA,NA
"9","10021",1,"IV","A",0.851148188,1e+06,5.53e+08,"AS",3.083605,101.7474,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2.98653201038531,NA,NA,NA,10,-1,0,NA,NA,NA
"10","100285",5,"Ib","A",1083.194148,1.092e+09,2801999872,"NTA",50.25731,-122.0033,1958,5.51276813074566,122.571322041121,3,0,-2.875,3,0,-0.416666666666667,1085,-0.00368663594470046,0.0144009216246517,13970,-999936,-999936,17638,0,0,NA,NA,NA
